mid,person_id
862,31
862,12898
862,7167
862,12899
862,12900
8844,2157
8844,8537
8844,205
8844,145151
8844,5149
15602,6837
15602,3151
15602,13567
15602,16757
15602,589
31357,8851
31357,9780
31357,18284
31357,51359
31357,66804
11862,67773
11862,3092
11862,519
11862,70696
11862,59222
949,1158
949,380
949,5576
949,10127
949,3197
11860,3
11860,15887
11860,17141
11860,4301
11860,12957
45325,53283
45325,51214
45325,38581
45325,8316
45325,87007
9091,15111
9091,6280
9091,10361
9091,79088
9091,12928
710,517
710,48
710,10695
710,10696
710,10671
9087,3392
9087,516
9087,8349
9087,19839
9087,20767
12110,7633
12110,14639
12110,1219
12110,12688
12110,12812
21032,4724
21032,382
21032,2233
21032,12077
21032,110001
10858,4173
10858,11148
10858,6280
10858,228
10858,382
1408,16935
1408,8654
1408,8924
1408,7868
1408,8979
524,380
524,4430
524,4517
524,4512
524,7167
4584,7056
4584,4566
4584,204
4584,3291
4584,10726
5,3129
5,3130
5,3131
5,3124
5,2555
9273,206
9273,3547
9273,4001
9273,4029
9273,57096
11517,10814
11517,57755
11517,16866
11517,9287
11517,2955
8012,8891
8012,193
8012,14343
8012,518
8012,1117
1710,10205
1710,18686
1710,883
1710,18687
1710,18688
9691,16483
9691,3131
9691,1231
9691,58556
9691,17348
12665,2453
12665,54789
12665,2714
12665,4785
12665,36637
451,2963
451,1951
451,6104
451,6105
451,6106
16420,2975
16420,1350
16420,11181
16420,27631
16420,17483
9263,6886
9263,2155
9263,12930
9263,12929
9263,29369
17015,30318
17015,8785
17015,87415
17015,10981
17015,14465
902,2372
902,2413
902,13842
902,13843
902,13687
37557,643
37557,146097
37557,150152
37557,150151
37557,143358
9909,1160
9909,10477
9909,24047
9909,11902
9909,12642
63,62
63,289
63,287
63,290
63,52
9598,58136
9598,6199
9598,52699
9598,1331
9598,35109
687,4038
687,2228
687,10360
687,10361
687,8655
33689,1796
33689,26472
33689,67848
33689,67849
33689,92255
9603,5588
9603,58150
9603,328
9603,22226
9603,49002
34615,15152
34615,17764
34615,123831
34615,123833
34615,123834
31174,1327
31174,516
31174,388
31174,3223
31174,5470
11443,18291
11443,65827
11443,66
11443,6862
11443,69447
35196,3223
35196,5344
35196,4783
35196,11207
35196,3291
9312,38559
9312,57250
9312,57251
9312,11398
9312,20751
577,2227
577,2876
577,73421
577,1893
577,2841
11861,1920
11861,10774
11861,9560
11861,18794
11861,14500
807,287
807,192
807,12052
807,8655
807,11885
10530,65529
10530,2461
10530,28010
10530,31365
10530,3894
8391,54818
8391,54819
8391,15319
8391,20173
8391,4569
629,9045
629,1979
629,5168
629,9046
629,7166
11448,1243
11448,23931
11448,1283
11448,1164
11448,10560
49133,27392
49133,25819
49133,1149435
49133,1180060
49133,1306493
26441,46423
26441,26472
26441,69395
26441,6067
26441,8659
97406,10431
97406,51544
97406,15854
97406,7268
97406,42746
9089,18686
9089,3223
9089,10774
9089,1466
9089,6194
11010,24366
11010,67792
11010,10777
11010,14149
11010,538696
11359,69301
11359,69302
11359,32225
11359,28633
11359,1318612
17182,35
17182,2628
17182,228
17182,821
17182,33689
2054,3037
2054,21104
2054,21105
2054,3019
2054,3905
10607,35690
10607,9562
10607,66131
10607,27590
10607,2535
19760,18277
19760,5724
19760,5050
19760,8435
19760,66131
9536,64998
9536,9045
9536,7676
9536,16484
9536,43433
11525,29459
11525,40009
11525,58119
11525,36898
11525,72612
4482,25256
4482,35137
4482,4275
4482,13689
4482,35908
10634,9778
10634,66
10634,9781
10634,8396
10634,56902
755,1461
755,138
755,1037
755,3196
755,11158
11859,13021
11859,33665
11859,782
11859,4443
11859,30488
28387,52419
28387,46423
28387,52930
